# Session
# Date,2026-06-25 10:58:42
# Duration,16.888s
# Sampling Rate (Expected),Game (50 Hz) - Climbing recommended
# Total Events,831
#
Time(ms),Sensor,Accel.X(m/s²),Accel.Y(m/s²),Accel.Z(m/s²),Gyro.X(rad/s),Gyro.Y(rad/s),Gyro.Z(rad/s),Heart(bpm),Pressure(hPa),Altitude(m)
102,fused,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,fused,-0.3314040005207062,0.3005639910697937,9.852357864379883,0.0,0.0,0.0,0.0,0.0,0.0
144,fused,-0.3984780013561249,0.870693027973175,9.663113594055176,0.0,0.0,0.0,0.0,0.0,0.0
167,fused,-0.372127503156662,1.3473974466323853,9.73018741607666,0.0,0.0,0.0,0.0,0.0,0.0
200,fused,-0.47273850440979004,0.5017859935760498,9.766119956970215,0.0,0.0,0.0,0.0,0.0,0.0
207,fused,-0.47273850440979004,0.5017859935760498,9.766119956970215,0.0,0.0,0.0,0.0,0.0,0.0
225,fused,-0.47273850440979004,0.5017859935760498,9.766119956970215,0.0,0.0,0.0,0.0,0.0,0.0
248,fused,-1.0931730270385742,2.3654849529266357,9.981715202331543,0.0,0.0,0.0,0.0,0.0,0.0
266,fused,-1.0931730270385742,2.3654849529266357,9.981715202331543,-1.7798413038253784,-0.6605063676834106,1.881781816482544,0.0,0.0,0.0
285,fused,-2.3124825954437256,-1.567926049232483,10.40332317352295,-1.7798413038253784,-0.6605063676834106,1.881781816482544,0.0,0.0,0.0
306,fused,-2.3124825954437256,-1.567926049232483,10.40332317352295,-1.7798413038253784,-0.6605063676834106,1.881781816482544,0.0,0.0,0.0
324,fused,-1.5315494537353516,-1.805080533027649,10.343435287475586,-1.3495813608169556,-0.7371863722801208,2.0031917095184326,0.0,0.0,0.0
346,fused,-1.5315494537353516,-1.805080533027649,10.343435287475586,-1.3495813608169556,-0.7371863722801208,2.0031917095184326,0.0,0.0,0.0
364,fused,-0.3146354854106903,-1.0696619749069214,9.176827430725098,-1.5711013078689575,-1.1844862699508667,2.037271738052368,0.0,0.0,0.0
386,fused,0.37526848912239075,-2.820772409439087,8.575556755065918,-1.5711013078689575,-1.1844862699508667,2.037271738052368,0.0,0.0,0.0
408,fused,1.1729700565338135,-5.767237663269043,7.864092826843262,-2.0514161586761475,-1.4273062944412231,1.6187267303466797,0.0,0.0,0.0
426,fused,1.4101245403289795,-4.368265628814697,7.231680870056152,-1.9939063787460327,-1.2558412551879883,1.4312868118286133,0.0,0.0,0.0
446,fused,1.4101245403289795,-4.368265628814697,7.231680870056152,-2.7575111389160156,-1.059881329536438,1.2864468097686768,0.0,0.0,0.0
464,fused,1.2592079639434814,-4.902462005615234,6.616037368774414,-3.6638262271881104,-0.9949163794517517,1.1874017715454102,0.0,0.0,0.0
485,fused,1.6448835134506226,-6.073861598968506,5.681792736053467,-4.062136650085449,-0.9895913600921631,1.0681217908859253,0.0,0.0,0.0
504,fused,2.1383564472198486,-6.864376544952393,5.617114067077637,-3.9428563117980957,-0.862856388092041,0.9829217791557312,0.0,0.0,0.0
525,fused,2.1383564472198486,-6.864376544952393,5.617114067077637,-3.9428563117980957,-0.862856388092041,0.9829217791557312,0.0,0.0,0.0
545,fused,2.0257680416107178,-8.287303924560547,5.252997875213623,-3.02056622505188,-0.5880863666534424,0.7720517516136169,0.0,0.0,0.0
566,fused,2.0257680416107178,-8.287303924560547,5.252997875213623,-2.7031962871551514,-0.4879763424396515,0.657031774520874,0.0,0.0,0.0
587,fused,2.641411542892456,-8.534040451049805,3.9474503993988037,-2.450791120529175,-0.3495263457298279,0.6016517877578735,0.0,0.0,0.0
604,fused,2.641411542892456,-8.534040451049805,3.9474503993988037,-1.9204213619232178,-0.23450635373592377,0.6208217740058899,0.0,0.0,0.0
624,fused,3.7121999263763428,-6.912286281585693,2.8574979305267334,-1.7308512926101685,-0.5593313574790955,0.2331617921590805,0.0,0.0,0.0
